TOTAL,F,MED_E,EUR,LT	6652 	5951 	5497 	5057 	4703 	4498 	4168 	3742 	3885 	4546 	3957 	3169 	2435 	2012 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,LU	39784 	35480 	33246 b	35133 	33781 	32740 	32180 	31959 	32036 	31468 	30579 	29531 	29454 	28228 	26674 	25304 b	22905 	21833 	21072 	20428 	20240 	19870 	18257 
TOTAL,F,MED_E,EUR,LV	6989 	6455 	6159 	5580 	5016 	4517 	4299 	4107 	4418 	5129 	4560 	3224 	2397 	2015 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,MK	: 	2433 	2226 	2107 	1944 	1900 	1831 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,MT	14581 	14249 	13543 	13332 	12573 	11741 	11129 	10520 	10241 	10246 	9716 	9125 	8852 	8407 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,NL	23441 	23092 	22271 b	20974 	20583 	20418 	20111 	19869 	19956 	19774 	19093 	17778 	16864 	16695 b	: 	: 	13547 	13093 	12481 	12035 	12142 	11744 	11152 
TOTAL,F,MED_E,EUR,NO	38771 	37585 	38627 	40561 	42913 	42167 	39733 	36153 	31909 	33005 	30947 	28324 	27970 	25019 	25889 	26883 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,PL	6460 	5890 	5807 	5526 	5284 	5131 	5010 	4951 	4342 	5001 	4113 	3467 	3096 	2525 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,PT	9203 	8960 	8643 	8260 	8109 	8099 	8224 	8255 	8575 	8117 	8001 	7480 	7215 	7091 	6774 b	: 	5936 	5580 	5242 	4928 	4808 	4566 	4234 
TOTAL,F,MED_E,EUR,RO	3229 	2672 	2407 	2254 	2114 	1974 	2029 	2051 	2004 	2144 	1909 	1581 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,RS	2706 	2493 	2416 	2378 	2437 	2417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,SE	25054 	24965 	24471 	24674 	25215 	24834 	23206 	20891 	18357 	19995 	19654 b	18473 	17648 	17069 	16906 	: 	: 	: 	: 	: 	: 	: 	: 
